actual_background,actual_background_cells,actual_background_fraction,actual_background_mean_energy,actual_boundary,actual_boundary_cells,actual_boundary_fraction,actual_boundary_mean_energy,actual_core,actual_core_cells,actual_core_fraction,actual_core_mean_energy,actual_total,batch,level,localization_background,localization_background_cells,localization_background_fraction,localization_background_mean_energy,localization_boundary,localization_boundary_cells,localization_boundary_fraction,localization_boundary_mean_energy,localization_core,localization_core_cells,localization_core_fraction,localization_core_mean_energy,localization_total,pure_background,pure_background_cells,pure_background_fraction,pure_background_mean_energy,pure_boundary,pure_boundary_cells,pure_boundary_fraction,pure_boundary_mean_energy,pure_core,pure_core_cells,pure_core_fraction,pure_core_mean_energy,pure_total
0.004422172176418826,6400,1.0,6.909644025654416e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.004422172176418826,0,0,0.0037817445991095155,6400,1.0,5.908975936108618e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0037817445991095155,0.001961732174095232,6400,1.0,3.0652065220238e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.001961732174095232
0.005159292311873287,1600,1.0,3.2245576949208045e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005159292311873287,0,1,0.030974875087849796,1600,1.0,1.935929692990612e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.030974875087849796,0.0024969502264866605,1600,1.0,1.5605938915541627e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0024969502264866605
0.003421343135414645,6400,1.0,5.345848649085383e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.003421343135414645,1,0,0.0020203590393066406,6400,1.0,3.156810998916626e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0020203590393066406,0.0011234073535888456,6400,1.0,1.7553239899825713e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0011234073535888456
0.005668722962582251,1600,1.0,3.5429518516139068e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005668722962582251,1,1,0.0340390563942492,1600,1.0,2.1274410246405752e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0340390563942492,0.0026062703818752198,1600,1.0,1.6289189886720123e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0026062703818752198
0.002830963596352376,4800,0.7405925105175798,5.897840825734117e-07,0.0009916021954268217,1600,0.25940748948242026,6.197513721417635e-07,0.0,0,0.0,0.0,0.0038225657917791978,2,0,0.003950229307520203,4800,0.9312682251052323,8.22964439066709e-07,0.0002915446530096233,1600,0.0687317748947677,1.8221540813101455e-07,0.0,0,0.0,0.0,0.004241773960529827,0.0010675262310542166,4800,0.7605582368331548,2.2240129813629512e-07,0.0003360825648996979,1600,0.23944176316684515,2.1005160306231118e-07,0.0,0,0.0,0.0,0.0014036087959539145
0.0009729858284117654,1200,0.33301281702166835,8.108215236764712e-07,0.0019487810786813498,400,0.6669871829783317,4.871952696703374e-06,0.0,0,0.0,0.0,0.002921766907093115,2,1,0.03712474601343274,1200,0.8881359236069817,3.0937288344527283e-05,0.004676002077758312,400,0.11186407639301836,1.1690005194395781e-05,0.0,0,0.0,0.0,0.04180074809119105,0.0003608993356465362,1200,0.2528886907425968,3.007494463721135e-07,0.0010662081185728312,400,0.7471113092574032,2.665520296432078e-06,0.0,0,0.0,0.0,0.0014271074542193674
0.0032968748128041625,6400,1.0,5.151366895006504e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0032968748128041625,3,0,0.005219436949118972,6400,1.0,8.155370232998393e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005219436949118972,0.0013256286329124123,6400,1.0,2.0712947389256443e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0013256286329124123
0.0037401932349894196,1600,1.0,2.3376207718683874e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0037401932349894196,3,1,0.12236442603170872,1600,1.0,7.647776626981795e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.12236442603170872,0.001856302627857076,1600,1.0,1.1601891424106724e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.001856302627857076
0.005497111822478473,4800,0.9051229027889923,1.1452316296830153e-06,0.0005762201035395265,1600,0.09487709721100772,3.6013756471220404e-07,0.0,0,0.0,0.0,0.006073331926018,4,0,0.0036715063033625484,4800,0.9636432879529583,7.648971465338642e-07,0.00013852003030478954,1600,0.03635671204704173,8.657501894049347e-08,0.0,0,0.0,0.0,0.003810026333667338,0.002553593774791807,4800,0.8806749862479872,5.319987030816265e-07,0.00034599326318129897,1600,0.11932501375201282,2.1624578948831187e-07,0.0,0,0.0,0.0,0.002899587037973106
0.005395563435740769,1200,0.6169090622527865,4.496302863117308e-06,0.0033505610190331936,400,0.3830909377472135,8.376402547582984e-06,0.0,0,0.0,0.0,0.008746124454773962,4,1,0.022181995678693056,1200,0.9746278710655321,1.848499639891088e-05,0.0005774557357653975,400,0.025372128934467893,1.4436393394134939e-06,0.0,0,0.0,0.0,0.022759451414458454,0.002810010628309101,1200,0.57797241860962,2.3416755235909175e-06,0.002051831455901265,400,0.42202758139038005,5.129578639753163e-06,0.0,0,0.0,0.0,0.004861842084210366
